userid,state,weixin,android,ios,first_platform,last_platform,change
3684,normal,6,0,0,weixin,weixin,False
3702,disabled,3,0,0,weixin,weixin,False
3733,normal,12,0,0,weixin,weixin,False
3745,normal,1,0,0,weixin,None,False
3763,new,2,0,0,weixin,weixin,False
3779,normal,6,0,0,weixin,weixin,False
3782,normal,39,0,0,weixin,weixin,False
3786,normal,5,0,0,weixin,weixin,False
3855,disabled,1,0,0,weixin,None,False
3863,new,1,0,0,weixin,None,False
3878,normal,71,0,0,weixin,weixin,False
3905,disabled,1,0,0,weixin,None,False
3914,normal,3,0,0,weixin,weixin,False
3933,normal,7,0,0,weixin,weixin,False
3963,normal,2,4,0,android,weixin,True
3969,new,5,0,0,weixin,weixin,False
4014,new,1,0,0,weixin,None,False
4127,normal,4,0,0,weixin,weixin,False
4161,new,1,0,0,weixin,None,False
4218,normal,6,0,0,weixin,weixin,False
4320,normal,5,0,0,weixin,weixin,False
4329,normal,5,0,0,weixin,weixin,False
4341,normal,1,0,0,weixin,None,False
4351,normal,27,0,0,weixin,weixin,False
4374,normal,5,0,0,weixin,weixin,False
4449,normal,2,0,0,weixin,weixin,False
4455,normal,1,0,0,weixin,None,False
1146,normal,1,0,0,weixin,None,False
3858,normal,4,0,0,weixin,weixin,False
4523,normal,4,0,0,weixin,weixin,False
4590,normal,0,2,0,android,android,False
4594,normal,0,6,0,android,android,False
4597,normal,12,0,0,weixin,weixin,False
4600,normal,1,0,0,weixin,None,False
4605,normal,2,0,0,weixin,weixin,False
4608,normal,1,0,0,weixin,None,False
4603,new,7,0,0,weixin,weixin,False
4620,normal,1,0,0,weixin,None,False
4876,normal,10,0,0,weixin,weixin,False
4911,normal,1,0,0,weixin,None,False
14,normal,0,1,1,android,ios,True
19,normal,1,0,0,weixin,None,False
50,new,1,2,0,android,weixin,True
91,normal,1,0,0,weixin,None,False
100,normal,3,0,0,weixin,weixin,False
116,normal,23,0,0,weixin,weixin,False
128,normal,45,0,0,weixin,weixin,False
131,normal,0,2,0,android,android,False
136,normal,10,0,0,weixin,weixin,False
154,normal,1,0,0,weixin,None,False
159,normal,1,0,0,weixin,None,False
173,normal,17,0,0,weixin,weixin,False
174,normal,1,0,0,weixin,None,False
176,normal,1,0,0,weixin,None,False
180,normal,1,0,0,weixin,None,False
221,normal,1,0,0,weixin,None,False
245,normal,3,0,0,weixin,weixin,False
283,normal,5,0,0,weixin,weixin,False
289,new,1,0,0,weixin,None,False
326,normal,5,0,2,weixin,ios,True
330,normal,1,0,0,weixin,None,False
377,normal,7,1,0,weixin,weixin,True
383,normal,3,0,0,weixin,weixin,False
386,normal,3,0,0,weixin,weixin,False
397,normal,4,2,0,android,weixin,True
407,new,1,0,0,weixin,None,False
459,normal,4,0,0,weixin,weixin,False
502,new,1,0,0,weixin,None,False
505,normal,5,0,0,weixin,weixin,False
543,new,1,0,0,weixin,None,False
552,normal,1,0,0,weixin,None,False
598,normal,25,0,0,weixin,weixin,False
601,normal,9,0,0,weixin,weixin,False
646,normal,3,0,0,weixin,weixin,False
657,normal,7,0,0,weixin,weixin,False
677,normal,9,0,0,weixin,weixin,False
718,normal,3,0,0,weixin,weixin,False
752,normal,1,0,0,weixin,None,False
801,normal,0,0,5,ios,ios,False
899,normal,1,0,0,weixin,None,False
908,normal,24,0,0,weixin,weixin,False
909,normal,1,0,0,weixin,None,False
927,normal,1,0,0,weixin,None,False
943,normal,2,0,0,weixin,weixin,False
973,normal,0,0,1,ios,None,False
976,normal,1,0,4,ios,weixin,True
987,normal,27,0,0,weixin,weixin,False
1018,normal,20,0,0,weixin,weixin,False
1028,normal,6,0,0,weixin,weixin,False
1036,normal,1,0,0,weixin,None,False
1042,new,2,0,0,weixin,weixin,False
1053,normal,1,0,0,weixin,None,False
1056,new,5,0,0,weixin,weixin,False
1064,normal,1,0,0,weixin,None,False
1066,normal,3,0,0,weixin,weixin,False
1069,normal,28,0,0,weixin,weixin,False
1071,normal,3,0,0,weixin,weixin,False
1085,normal,6,0,0,weixin,weixin,False
1089,normal,1,0,0,weixin,None,False
1092,new,2,0,0,weixin,weixin,False
1120,normal,7,0,0,weixin,weixin,False
1122,normal,35,0,0,weixin,weixin,False
1124,normal,4,0,0,weixin,weixin,False
1133,normal,1,0,0,weixin,None,False
1142,normal,0,4,0,android,android,False
1143,normal,19,0,0,weixin,weixin,False
1157,new,6,0,0,weixin,weixin,False
1176,normal,1,0,0,weixin,None,False
1177,normal,2,0,0,weixin,weixin,False
1179,normal,7,0,0,weixin,weixin,False
1182,normal,1,0,0,weixin,None,False
1184,normal,3,0,0,weixin,weixin,False
1200,new,1,0,0,weixin,None,False
1201,normal,9,0,0,weixin,weixin,False
1218,new,1,0,0,weixin,None,False
1220,normal,2,0,0,weixin,weixin,False
1227,new,2,0,0,weixin,weixin,False
1229,normal,1,0,0,weixin,None,False
