"amount","initamount","customamount"
"370.00","370.00",""
"69.00","69.00",""
"70.00","99.00","70.00"
"68.00","99.00","68.00"
"80.00","100.00","80.00"
"80.00","100.00","80.00"
"100.00","100.00",""
"99.00","99.00",""
"80.00","99.00","80.00"
"78.00","109.00","78.00"
"178.00","118.00","100.00"
"109.00","109.00",""
"100.00","100.00",""
"78.00","99.00","78.00"
"78.00","99.00","78.00"
"109.00","109.00",""
"78.00","99.00","78.00"
"78.00","99.00","78.00"
"78.00","99.00","78.00"
"78.00","99.00","78.00"
"78.00","99.00","78.00"
"78.00","99.00","78.00"
"78.00","109.00","78.00"
"90.00","109.00","80.00"
"110.00","135.00","110.00"
"110.00","135.00","110.00"
"100.00","100.00",""
"60.00","89.00","60.00"
"370.00","370.00",""
"370.00","370.00",""
"120.00","120.00",""
"110.00","145.00","110.00"
"162.50","128.00",""
"100.00","120.00","100.00"
"78.00","99.00","78.00"
"78.00","109.00","78.00"
"69.00","69.00",""
"78.00","89.00","78.00"
"88.00","109.00","78.00"
"49.00","49.00",""
"200.00","200.00",""
"78.00","109.00","78.00"
"120.00","120.00",""
"440.00","500.00","440.00"
"120.00","125.00","100.00"
"125.00","125.00",""
"120.00","100.00",""
"78.00","109.00","78.00"
"450.00","370.00","450.00"
"115.00","100.00",""
"160.00","160.00",""
"80.00","104.00","80.00"
"78.00","99.00","78.00"
"78.00","99.00","78.00"
"80.00","99.00","80.00"
"59.00","59.00",""
"222.00","170.00","150.00"
"54.00","54.00",""
"54.00","54.00",""
"350.00","350.00",""
"54.00","54.00",""
"100.00","100.00",""
"89.00","89.00",""
"107.00","107.00",""
"125.00","125.00",""
"29.00","140.00","29.00"
"29.00","109.00","29.00"
"78.00","109.00","78.00"
"156.00","140.00","156.00"
"49.00","49.00",""
"54.00","54.00",""
"79.00","79.00",""
"54.00","54.00",""
"110.00","110.00",""
"49.00","49.00",""
"49.00","49.00",""
"450.00","450.00",""
"49.00","49.00",""
"99.00","99.00",""
"49.00","49.00",""
"125.00","125.00",""
"130.00","130.00",""
"80.00","109.00","80.00"
"80.00","104.00","80.00"
"49.00","49.00",""
"113.00","113.00",""
"50.00","49.00","50.00"
"89.00","89.00",""
"90.00","110.00","90.00"
"78.00","100.00","78.00"
"110.00","110.00",""
"110.00","110.00",""
"80.00","100.00","80.00"
"80.00","109.00","80.00"
"136.00","136.00",""
"44.00","44.00",""
"63.88","49.00","63.88"
"78.00","99.00","78.00"
"78.00","160.00","78.00"
"68.88","135.00","68.88"
"109.00","109.00",""
"78.00","99.00","78.00"
"80.00","109.00","80.00"
"150.00","120.00","150.00"
"730.00","820.00","730.00"
"120.00","120.00",""
"125.00","100.00","125.00"
"120.00","120.00",""
"150.00","120.00","150.00"
"100.00","100.00",""
"100.00","100.00",""
"100.00","109.00","100.00"
"70.00","100.00","70.00"
"70.00","100.00","70.00"
"100.00","180.00","100.00"
"78.00","99.00","78.00"
"110.00","180.00","110.00"
"100.00","100.00",""
"78.00","99.00","78.00"
"78.00","109.00","78.00"
"78.00","109.00","78.00"
"150.00","130.00","150.00"
"110.00","120.00","110.00"
"100.00","100.00",""
"100.00","100.00",""
"180.00","180.00",""
"100.00","100.00",""
"54.00","54.00",""
"120.00","120.00",""
"79.00","79.00",""
"140.00","120.00","110.00"
"330.00","330.00",""
"69.00","69.00",""
"45.00","69.00","45.00"
"550.00","550.00",""
"80.00","79.00","80.00"
"74.00","74.00",""
"167.00","109.00","167.00"
"104.00","104.00",""
"104.00","104.00",""
"49.00","49.00",""
"100.00","100.00",""
"49.00","49.00",""
"188.89","180.00","188.89"
"240.00","280.00","240.00"
"79.00","79.00",""
"79.00","79.00",""
"124.00","124.00",""
"78.00","109.00","78.00"
"78.00","99.00","78.00"
"78.00","99.00","78.00"
"140.00","120.00","140.00"
"125.00","125.00",""
"77.80","109.00","77.80"
"105.00","105.00",""
"79.00","79.00",""
"100.00","100.00",""
"54.00","54.00",""
"89.00","94.00","89.00"
"49.00","49.00",""
"69.00","69.00",""
"69.00","69.00",""
"84.00","84.00",""
"100.00","100.00",""
"89.00","89.00",""
"100.00","69.00","100.00"
"114.00","114.00",""
"70.00","109.00","70.00"
"110.00","89.00","110.00"
"89.00","89.00",""
"470.00","470.00",""
"180.00","180.00",""
"90.00","119.00","90.00"
"89.00","69.00",""
"90.00","120.00","90.00"
"120.00","104.00","120.00"
"78.00","99.00","78.00"
"114.00","114.00",""
"78.00","99.00","78.00"
"69.00","69.00",""
"74.00","74.00",""
"74.00","74.00",""
"74.00","74.00",""
"69.00","69.00",""
"118.00","109.00","70.00"
"79.00","79.00",""
"255.00","225.00",""
"160.00","205.00","160.00"
"100.00","124.00","100.00"
"119.00","89.00","119.00"
"50.00","49.00","50.00"
"78.00","109.00","78.00"
"100.00","100.00",""
"45.00","69.00","45.00"
"70.00","99.00","70.00"
"65.00","100.00","65.00"
"69.00","69.00",""
"112.00","109.00","112.00"
"70.00","69.00","70.00"
"70.00","109.00","70.00"
"100.00","100.00",""
"89.00","69.00","79.00"
"100.00","100.00","90.00"
"80.00","104.00","80.00"
"144.00","144.00",""
"80.00","104.00","80.00"
"187.50","125.00",""
"30.00","44.00","30.00"
"69.00","69.00",""
"99.00","99.00",""
"99.00","99.00",""
"80.00","100.00","80.00"
"74.00","74.00",""
"70.00","59.00","70.00"
"109.00","109.00",""
"100.00","100.00",""
"100.00","100.00",""
"78.00","99.00","78.00"
"78.00","109.00","78.00"
"78.00","109.00","78.00"
"78.00","109.00","78.00"
"100.00","99.00","100.00"
"100.00","99.00","100.00"
"69.00","69.00",""
"69.00","69.00",""
"112.00","109.00","80.00"
"78.00","109.00","78.00"
"100.00","104.00","100.00"
"79.00","79.00",""
"78.00","99.00","78.00"
"200.00","200.00","200.00"
"112.00","69.00",""
"89.00","89.00",""
